Kennziffer;Raumeinheit;Aggregat;Medianeinkommen;Einwohnerdichte;Ländlichkeit;Pkw-Dichte;Pendler mit Arbeitsweg 50 km und mehr;Auspendler
;;;2017;2017;2017;2017;2017;2017
"01001";"Flensburg, Stadt";"krsfr. Stadt";"2.986";"1.560";"0";"478";"14,0";"34,2"
"01002";"Kiel, Stadt";"krsfr. Stadt";"3.304";"2.090";"0";"436";"13,1";"30,3"
"01003";"Lübeck, Stadt";"krsfr. Stadt";"3.036";"1.010";"0";"444";"15,0";"31,3"
"01004";"Neumünster, Stadt";"krsfr. Stadt";"2.842";"1.108";"0";"514";"14,7";"38,6"
"01051";"Dithmarschen";"Landkreis";"2.914";"93";"74";"583";"16,7";"73,5"
"01053";"Herzogtum Lauenburg";"Landkreis";"2.832";"155";"36";"572";"15,6";"79,7"
"01054";"Nordfriesland";"Landkreis";"2.768";"79";"76";"595";"15,1";"65,7"
"01055";"Ostholstein";"Landkreis";"2.636";"151";"32";"601";"15,2";"70,8"
"01056";"Pinneberg";"Landkreis";"3.036";"471";"8";"545";"7,2";"81,0"
"01057";"Plön";"Landkreis";"2.771";"112";"41";"597";"11,4";"83,8"
"01058";"Rendsburg-Eckernförde";"Landkreis";"2.945";"125";"60";"606";"12,2";"81,5"
"01059";"Schleswig-Flensburg";"Landkreis";"2.715";"96";"74";"604";"11,6";"79,5"
"01060";"Segeberg";"Landkreis";"3.031";"198";"31";"584";"12,0";"79,2"
"01061";"Steinburg";"Landkreis";"2.991";"125";"64";"591";"21,6";"76,4"
"01062";"Stormarn";"Landkreis";"3.023";"334";"15";"603";"11,7";"83,4"
"02000";"Hamburg, Stadt";"krsfr. Stadt";"3.619";"2.424";"0";"421";"8,8";"17,1"
"03101";"Braunschweig, Stadt";"krsfr. Stadt";"3.438";"1.287";"0";"542";"10,8";"35,4"
"03102";"Salzgitter, Stadt";"krsfr. Stadt";"4.085";"466";"0";"507";"11,2";"39,6"
"03103";"Wolfsburg, Stadt";"krsfr. Stadt";"4.622";"606";"0";"1.125";"6,5";"17,7"
"03151";"Gifhorn";"Landkreis";"3.136";"112";"53";"579";"8,4";"82,4"
"03153";"Goslar";"Landkreis";"2.858";"142";"9";"565";"16,1";"55,1"
"03154";"Helmstedt";"Landkreis";"2.720";"136";"46";"584";"9,1";"80,8"
"03155";"Northeim";"Landkreis";"2.931";"105";"70";"633";"10,6";"62,6"
"03157";"Peine";"Landkreis";"2.946";"249";"16";"599";"9,7";"76,1"
"03158";"Wolfenbüttel";"Landkreis";"2.979";"166";"46";"601";"8,8";"80,7"
"03159";"Göttingen";"Landkreis";"3.128";"187";"18";"542";"12,0";"55,8"
"03241";"Region Hannover";"Landkreis";"3.387";"502";"7";"490";"10,1";"54,8"
"03251";"Diepholz";"Landkreis";"2.822";"108";"51";"619";"10,7";"75,3"
"03252";"Hameln-Pyrmont";"Landkreis";"3.142";"186";"25";"600";"12,4";"59,1"
"03254";"Hildesheim";"Landkreis";"3.044";"229";"24";"561";"11,1";"65,1"
"03255";"Holzminden";"Landkreis";"3.132";"102";"51";"609";"12,2";"70,4"
"03256";"Nienburg (Weser)";"Landkreis";"2.866";"87";"74";"608";"15,8";"72,4"
"03257";"Schaumburg";"Landkreis";"2.880";"234";"9";"613";"12,2";"78,2"
"03351";"Celle";"Landkreis";"3.154";"115";"47";"588";"13,5";"63,9"
"03352";"Cuxhaven";"Landkreis";"2.768";"96";"76";"606";"16,9";"68,2"
"03353";"Harburg";"Landkreis";"2.718";"201";"27";"628";"10,8";"82,6"
"03354";"Lüchow-Dannenberg";"Landkreis";"2.700";"39";"100";"613";"21,9";"71,8"
"03355";"Lüneburg";"Landkreis";"2.890";"138";"36";"545";"24,0";"71,3"
"03356";"Osterholz";"Landkreis";"2.737";"173";"26";"610";"8,7";"80,8"
"03357";"Rotenburg (Wümme)";"Landkreis";"2.850";"79";"87";"649";"18,2";"71,5"
"03358";"Heidekreis";"Landkreis";"2.892";"74";"92";"603";"18,2";"63,4"
"03359";"Stade";"Landkreis";"3.098";"159";"40";"588";"12,0";"73,6"
"03360";"Uelzen";"Landkreis";"2.766";"63";"64";"587";"18,6";"66,1"
"03361";"Verden";"Landkreis";"2.926";"173";"34";"606";"10,9";"74,0"
"03401";"Delmenhorst, Stadt";"krsfr. Stadt";"2.815";"1.241";"0";"526";"9,2";"64,3"
"03402";"Emden, Stadt";"krsfr. Stadt";"3.562";"450";"0";"467";"9,9";"26,1"
"03403";"Oldenburg (Oldenburg), Stadt";"krsfr. Stadt";"3.152";"1.621";"0";"507";"17,8";"36,5"
"03404";"Osnabrück, Stadt";"krsfr. Stadt";"3.245";"1.372";"0";"494";"13,9";"39,3"
"03405";"Wilhelmshaven, Stadt";"krsfr. Stadt";"3.169";"713";"0";"512";"14,3";"31,2"
"03451";"Ammerland";"Landkreis";"2.809";"169";"28";"615";"11,9";"69,0"
"03452";"Aurich";"Landkreis";"2.785";"148";"32";"589";"8,4";"63,7"
"03453";"Cloppenburg";"Landkreis";"2.609";"118";"72";"559";"11,3";"65,3"
"03454";"Emsland";"Landkreis";"2.972";"112";"61";"582";"12,1";"60,1"
"03455";"Friesland";"Landkreis";"2.898";"162";"30";"637";"11,2";"68,7"
"03456";"Grafschaft Bentheim";"Landkreis";"2.833";"138";"49";"586";"9,1";"58,1"
"03457";"Leer";"Landkreis";"2.761";"156";"24";"579";"12,0";"69,9"
"03458";"Oldenburg";"Landkreis";"2.720";"122";"61";"612";"12,1";"76,7"
"03459";"Osnabrück";"Landkreis";"2.808";"168";"35";"614";"9,0";"71,5"
"03460";"Vechta";"Landkreis";"2.821";"173";"30";"581";"8,9";"58,1"
"03461";"Wesermarsch";"Landkreis";"3.428";"108";"46";"576";"11,4";"60,9"
"03462";"Wittmund";"Landkreis";"2.685";"86";"100";"605";"11,3";"67,4"
"04011";"Bremen, Stadt";"krsfr. Stadt";"3.445";"1.741";"0";"425";"12,1";"22,3"
"04012";"Bremerhaven, Stadt";"krsfr. Stadt";"3.196";"1.207";"0";"430";"17,1";"28,9"
"05111";"Düsseldorf, Stadt";"krsfr. Stadt";"3.882";"2.839";"0";"493";"9,6";"35,3"
"05112";"Duisburg, Stadt";"krsfr. Stadt";"3.467";"2.140";"0";"450";"8,3";"48,2"
"05113";"Essen, Stadt";"krsfr. Stadt";"3.451";"2.774";"0";"484";"8,0";"41,2"
"05114";"Krefeld, Stadt";"krsfr. Stadt";"3.423";"1.645";"0";"509";"9,7";"47,9"
"05116";"Mönchengladbach, Stadt";"krsfr. Stadt";"3.047";"1.538";"0";"510";"10,3";"42,9"
"05117";"Mülheim an der Ruhr, Stadt";"krsfr. Stadt";"3.523";"1.876";"0";"534";"8,3";"59,0"
"05119";"Oberhausen, Stadt";"krsfr. Stadt";"3.272";"2.743";"0";"510";"8,2";"61,1"
"05120";"Remscheid, Stadt";"krsfr. Stadt";"3.323";"1.484";"0";"540";"4,9";"41,8"
"05122";"Solingen, Stadt";"krsfr. Stadt";"3.085";"1.774";"0";"563";"5,6";"45,0"
"05124";"Wuppertal, Stadt";"krsfr. Stadt";"3.379";"2.100";"0";"471";"7,6";"39,0"
"05154";"Kleve";"Landkreis";"2.882";"252";"10";"592";"13,5";"64,1"
"05158";"Mettmann";"Landkreis";"3.473";"1.192";"0";"590";"7,5";"70,4"
"05162";"Rhein-Kreis Neuss";"Landkreis";"3.446";"780";"0";"586";"8,6";"70,5"
"05166";"Viersen";"Landkreis";"2.969";"530";"0";"605";"10,4";"71,3"
"05170";"Wesel";"Landkreis";"3.047";"442";"6";"599";"11,0";"72,7"
"05314";"Bonn, Stadt";"krsfr. Stadt";"3.857";"2.307";"0";"536";"10,8";"37,3"
"05315";"Köln, Stadt";"krsfr. Stadt";"3.696";"2.668";"0";"435";"10,3";"30,1"
"05316";"Leverkusen, Stadt";"krsfr. Stadt";"4.170";"2.074";"0";"531";"7,4";"55,5"
"05334";"Städteregion Aachen";"Landkreis";"3.365";"784";"5";"510";"11,2";"55,1"
"05358";"Düren";"Landkreis";"3.236";"279";"12";"590";"10,5";"70,8"
"05362";"Rhein-Erft-Kreis";"Landkreis";"3.188";"663";"0";"576";"9,7";"77,6"
"05366";"Euskirchen";"Landkreis";"3.079";"154";"30";"688";"14,3";"71,2"
